Family:,Subfamily:,Country:,Province:,Genus:,Species:,View:,Filename:
Anthribidae,/,Equatorial Guinea,/,Phaeotragus,gigas,Dorsal,rbi_1.jpg
Anthribidae,/,Equatorial Guinea,/,Phaeotragus,gigas,Lateral,rbi_2.jpg
Anthribidae,/,Madagascar,/,Tophroderes,phrenatus,Dorsal,rbi_3.jpg
Brentidae,/,Indonesia,Sumatra,Eutrachelus,temmincki,Dorsal,rbi_4.jpg
Brentidae,/,Indonesia,Sumatra,Eutrachelus,temmincki,Dorsal,rbi_5.jpg
Brentidae,/,Indonesia,Sumatra,Eutrachelus,temmincki,Lateral,rbi_6.jpg
Buprestidae,/,Uzbekistan,/,Aaata,finchi,Dorsal,rbi_7.jpg
Buprestidae,/,Uzbekistan,/,Aaata,finchi,Lateral,rbi_8.jpg
Buprestidae,/,Brazil,Santa Catarina,Actenodes,costipennis,Dorsal,rbi_9.jpg
Buprestidae,/,Argentina,/,Archardella,americana,Dorsal,rbi_10.jpg
Buprestidae,/,Costa Rica,/,Buprestis,panamensis,Ventral,rbi_11.jpg
Buprestidae,/,Costa Rica,/,Buprestis,panamensis,Dorsal,rbi_12.jpg
Buprestidae,/,United States,Texas,Buprestis,rufipes,Dorsal,rbi_13.jpg
Buprestidae,/,Australia,Queensland,Calodema,kirbyi,Dorsal,rbi_14.jpg
Buprestidae,/,Australia,Queensland,Calodema,plebeja,Dorsal,rbi_15.jpg
Buprestidae,/,Australia,Queensland,Calodema,plebeja,Ventral,rbi_16.jpg
Buprestidae,/,Papua New Guinea,Morobe,Calodema,regalis,Dorsal,rbi_17.jpg
Buprestidae,/,Papua New Guinea,Morobe,Calodema,regalis,Ventral,rbi_18.jpg
Buprestidae,/,Papua New Guinea,Morobe,Calodema,regalis,Labels,rbi_19.jpg
Buprestidae,/,Papua New Guinea,Morobe,Calodema,ribbei,Ventral,rbi_20.jpg
Buprestidae,/,/,/,Sternocera,funebris,Dorsal,rbi_247.jpg
Buprestidae,/,Papua New Guinea,Morobe,Calodema,ribbei,Dorsal,rbi_21.jpg
Buprestidae,/,Papua New Guinea,Morobe,Calodema,ribbei,Lateral,rbi_22.jpg
Buprestidae,/,"Iran, Islamic Republic of",Persia,Capnodis,anthracina,Dorsal,rbi_23.jpg
Buprestidae,/,"Iran, Islamic Republic of",Persia,Capnodis,anthracina,Ventral,rbi_24.jpg
Buprestidae,/,Syrian Arab Republic,/,Capnodis,carbonaria,Dorsal,rbi_25.jpg
Buprestidae,/,Syrian Arab Republic,/,Capnodis,carbonaria,Dorsal,rbi_26.jpg
Buprestidae,/,Syrian Arab Republic,/,Capnodis,carbonaria,Lateral,rbi_27.jpg
Buprestidae,/,Syrian Arab Republic,/,Capnodis,carbonaria,Ventral,rbi_28.jpg
Buprestidae,/,Turkey,Antalya,Capnodis,cariosa,Dorsal,rbi_29.jpg
Buprestidae,/,Turkey,Antalya,Capnodis,cariosa,Ventral,rbi_30.jpg
Buprestidae,/,Turkey,Hatay,Capnodis,cariosa,Dorsal,rbi_31.jpg
Buprestidae,/,Turkey,Hatay,Capnodis,cariosa,Ventral,rbi_32.jpg
Buprestidae,/,Turkmenistan,/,Capnodis,excisa,Dorsal,rbi_33.jpg
Buprestidae,/,Turkmenistan,/,Capnodis,excisa,Ventral,rbi_34.jpg
Buprestidae,/,Syrian Arab Republic,/,Capnodis,milliaris,Dorsal,rbi_35.jpg
Buprestidae,/,Syrian Arab Republic,/,Capnodis,milliaris,Ventral,rbi_36.jpg
Buprestidae,/,Turkey,Hatay,Capnodis,porosa,Dorsal,rbi_37.jpg
Buprestidae,/,Turkey,Hatay,Capnodis,porosa,Ventral,rbi_38.jpg
Buprestidae,/,Australia,Western Australia,Chalcotaenia,australiasae,Dorsal,rbi_40.jpg
Buprestidae,/,Australia,Western Australia,Chalcotaenia,australiasae,Dorsal,rbi_41.jpg
Buprestidae,/,"Congo, The Democratic Republic of the",North Kivu,Chrysaspina,ducarmei,Ventral,rbi_42.jpg
Buprestidae,/,"Congo, The Democratic Republic of the",North Kivu,Chrysaspina,ducarmei,Labels,rbi_43.jpg
Buprestidae,/,"Congo, The Democratic Republic of the",North Kivu,Chrysaspina,ducarmei,Dorsal,rbi_44.jpg
Buprestidae,/,Thailand,Chiang Rai,Chrysochroa,corberti,Dorsal,rbi_45.jpg
Buprestidae,/,Thailand,Chiang Rai,Chrysochroa,corberti,Lateral,rbi_46.jpg
Buprestidae,/,Malaysia,Perak,Chrysochroa,gratiosa,Dorsal,rbi_47.jpg
Buprestidae,/,Malaysia,Perak,Chrysochroa,gratiosa,Lateral,rbi_48.jpg
Buprestidae,/,Indonesia,Maluku,Chrysochroa,lacordairei,Dorsal,rbi_49.jpg
Buprestidae,/,Malaysia,Pahang,Chrysochroa,descarpentriesi,Dorsal,rbi_50.jpg
Buprestidae,/,Malaysia,Pahang,Chrysochroa,descarpentriesi,Lateral,rbi_51.jpg
Buprestidae,/,Malaysia,Pahang,Chrysochroa,descarpentriesi,Ventral,rbi_52.jpg
Buprestidae,/,Malaysia,/,Chrysochroa,hemixantha,Dorsal,rbi_53.jpg
Buprestidae,/,Malaysia,/,Chrysochroa,hemixantha,Lateral,rbi_54.jpg
Buprestidae,/,Malaysia,/,Chrysochroa,hemixantha,Ventral,rbi_55.jpg
